date2;month;year;day;date;vaccination;dose1;dose2;population_de;immune_vac;population_er;vaccination_er;dose1_er;dose2_er;immune_vac_er
27.12.2020;12;2020;27;2020-12-27;23672;23672;0;83166711;;249790;;0;0;
28.12.2020;12;2020;28;2020-12-28;19084;19084;0;83166711;;249790;;0;0;
29.12.2020;12;2020;29;2020-12-29;42268;42268;0;83166711;;249790;;0;0;
30.12.2020;12;2020;30;2020-12-30;56795;56795;0;83166711;;249790;;0;0;
31.12.2020;12;2020;31;2020-12-31;37620;37620;0;83166711;;249790;1717;1717;0;
01.01.2021;1;2021;1;2021-1-1;30303;30303;0;83166711;;249790;;0;0;
02.01.2021;1;2021;2;2021-1-2;44459;44459;0;83166711;;249790;;0;0;
03.01.2021;1;2021;3;2021-1-3;24236;24236;0;83166711;;249790;;0;0;
04.01.2021;1;2021;4;2021-1-4;47646;47646;0;83166711;;249790;;0;0;
05.01.2021;1;2021;5;2021-1-5;49571;49571;0;83166711;;249790;;0;0;
06.01.2021;1;2021;6;2021-1-6;54534;54534;0;83166711;;249790;;0;0;
07.01.2021;1;2021;7;2021-1-7;55472;55472;0;83166711;;249790;1451;1451;0;
08.01.2021;1;2021;8;2021-1-8;56237;56237;0;83166711;;249790;;0;0;
09.01.2021;1;2021;9;2021-1-9;53010;53010;0;83166711;;249790;;0;0;
10.01.2021;1;2021;10;2021-1-10;32146;32146;0;83166711;;249790;;0;0;
11.01.2021;1;2021;11;2021-1-11;63265;63265;0;83166711;;249790;;0;0;
12.01.2021;1;2021;12;2021-1-12;74021;74021;0;83166711;;249790;;0;0;
13.01.2021;1;2021;13;2021-1-13;78116;78116;0;83166711;;249790;;0;0;
14.01.2021;1;2021;14;2021-1-14;;;0;83166711;;249790;;0;0;
15.01.2021;1;2021;15;2021-1-15;;;0;83166711;;249790;;0;0;
16.01.2021;1;2021;16;2021-1-16;;;0;83166711;;249790;;0;0;
17.01.2021;1;2021;17;2021-1-17;;;23672;83166711;;249790;;#WERT!;;
18.01.2021;1;2021;18;2021-1-18;;;19084;83166711;;249790;;#WERT!;;
19.01.2021;1;2021;19;2021-1-19;;;42268;83166711;;249790;;#WERT!;;
20.01.2021;1;2021;20;2021-1-20;;;56795;83166711;;249790;;#WERT!;;
21.01.2021;1;2021;21;2021-1-21;;;37620;83166711;;249790;;-1717;1717;
